,name,playlist,predictions
0,yes,"[('See You Again', 'Tyler, The Creator'), ('911 / Mr. Lonely', 'Tyler, The Creator'), ('Chanel', 'Frank Ocean'), ('Nights', 'Frank Ocean'), ('Bound 2', 'Kanye West'), ('Flex', 'Playboi Carti'), ('First World Problemz / Nobody Carez', 'Brent Faiyaz'), ('The Percocet & Stripper Joint', 'Future'), ('Location', 'Playboi Carti'), ('Ask - 2011 Remastered Version', 'The Smiths'), ('Be Quiet and Drive (Far Away)', 'Deftones'), ('Veridis Quo', 'Daft Punk'), ('Just for Now', 'Imogen Heap'), ('Kiss Me', 'Sixpence None The Richer'), ('Say Yes', 'Elliott Smith'), ('Eventually', 'Tame Impala')]","[('Biking', 'Frank Ocean'), ('Who Dat Boy', 'Tyler, The Creator'), ('She (feat. Frank Ocean)', 'Tyler, The Creator'), ('Pink + White', 'Frank Ocean'), ('Boredom', 'Tyler, The Creator'), ('FUCKING YOUNG / PERFECT', 'Tyler, The Creator'), ('Ivy', 'Frank Ocean'), ('Chum', 'Earl Sweatshirt'), ('Lens', 'Frank Ocean'), ('Dapper', 'Domo Genesis')]"
0,Pop Hits 2024,[],"[('Cheerleader - Felix Jaehn Remix Radio Edit', 'OMI'), ('No Other Love (feat. J-Boog & Fiji)', 'Common Kings'), ('A Good Day', 'Spawnbreezie'), ('A Samoan Wedding Song', 'Jamoa Jam'), ('Afai E Te Alofa', 'Pacific Soul'), ('Alamagoto', 'Te Vaka'), ('Bad Girl', 'Siaosi'), ('Big Island Ladies', 'Ryan Hiraoka'), ('Bring Back the Days', 'Rebel Souljahz'), ('Chant', 'Fiji')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
0,2010s Country,"[('Talladega', 'Eric Church'), ('Tennessee Whiskey', 'Chris Stapleton'), ('The House That Built Me', 'Miranda Lambert'), ('Wagon Wheel', 'Darius Rucker'), ('Night Shift', 'Jon Pardi'), (""Merry Go 'Round"", 'Kacey Musgraves'), ('When It Rains It Pours', 'Luke Combs'), ('I Could Use a Love Song', 'Maren Morris'), ('Springsteen', 'Eric Church'), (""Somethin' Bad - (Duet with Carrie Underwood)"", 'Miranda Lambert'), ('Parachute', 'Chris Stapleton'), (""In Case You Didn't Know"", 'Brett Young'), ('Dirt On My Boots', 'Jon Pardi'), ('Play It Again', 'Luke Bryan'), ('Die A Happy Man', 'Thomas Rhett'), ('Drink In My Hand', 'Eric Church'), ('Mean', 'Taylor Swift'), ('Head Over Boots', 'Jon Pardi'), ('Hurricane', 'Luke Combs'), ('American Kids', 'Kenny Chesney'), (""That's My Kind Of Night"", 'Luke Bryan'), ('Meant to Be (feat. Florida Georgia Line)', 'Bebe Rexha'), ('Girl In A Country Song', 'Maddie & Tae'), ('What Ifs', 'Kane Brown'), (""Mama's Broken Heart"", 'Miranda Lambert'), ('Rumor', 'Lee Brice'), ('Barefoot Blue Jean Night', 'Jake Owen'), (""Drinkin' Problem"", 'Midland'), ('Need You Now', 'Lady Antebellum'), ('Blown Away', 'Carrie Underwood'), ('Heaven', 'Kane Brown'), ('Fire Away', 'Chris Stapleton'), ('Burning House', 'Cam'), ('Cruise', 'Florida Georgia Line'), ('Drunk On A Plane', 'Dierks Bentley'), ('Alright', 'Darius Rucker'), ('Crazy Girl', 'Eli Young Band'), ('My Church', 'Maren Morris'), (""Somethin' 'Bout A Truck"", 'Kip Moore'), ('This Is How We Roll', 'Florida Georgia Line'), ('Body Like A Back Road', 'Sam Hunt'), ('Vice', 'Miranda Lambert'), ('May We All', 'Florida Georgia Line'), (""Why Don't We Just Dance"", 'Josh Turner'), ('Church Bells', 'Carrie Underwood'), ('Humble And Kind', 'Tim McGraw'), ('Hard To Love', 'Lee Brice'), ('Even If It Breaks Your Heart', 'Eli Young Band'), ('Follow Your Arrow', 'Kacey Musgraves'), ('Mine', 'Taylor Swift'), ('Make Me Wanna', 'Thomas Rhett'), (""I Don't Dance"", 'Lee Brice'), (""Highway Don't Care"", 'Tim McGraw'), (""Gettin' You Home"", 'Chris Young'), (""It Don't Hurt Like It Used To"", 'Billy Currington'), ('Wanted', 'Hunter Hayes'), ('Marry Me', 'Thomas Rhett'), (""I'm Comin' Over"", 'Chris Young'), ('Hotel Key', 'Old Dominion'), ('Take A Back Road', 'Rodney Atkins'), ('American Honey', 'Lady Antebellum'), ('Undo It', 'Carrie Underwood'), ('Written in the Sand', 'Old Dominion')]","[(""Blue Ain't Your Color"", 'Keith Urban'), ('H.O.L.Y.', 'Florida Georgia Line'), ('Knee Deep (feat. Jimmy Buffett)', 'Zac Brown Band'), ('Break Up In A Small Town', 'Sam Hunt'), ('House Party', 'Sam Hunt'), ('Somewhere On A Beach', 'Dierks Bentley'), ('T-Shirt', 'Thomas Rhett'), ('Middle of a Memory', 'Cole Swindell'), ('Make You Miss Me', 'Sam Hunt'), (""Huntin', Fishin' And Lovin' Every Day"", 'Luke Bryan')]"
